iter	Passed	Remaining
0	271	108154
1	440	87562
2	584	77381
3	697	69054
4	810	64036
5	907	59602
6	995	55883
7	1083	53095
8	1160	50407
9	1245	48580
10	1329	47006
11	1415	45752
12	1503	44768
13	1599	44091
14	1705	43773
15	1799	43186
16	1880	42361
17	1969	41799
18	2054	41190
19	2122	40331
20	2207	39839
21	2292	39393
22	2377	38971
23	2465	38622
24	2551	38268
25	2636	37926
26	2730	37715
27	2822	37503
28	2914	37281
29	3014	37181
30	3107	36985
31	3206	36878
32	3291	36603
33	3377	36358
34	3463	36114
35	3545	35851
36	3630	35616
37	3728	35518
38	3815	35315
39	3914	35229
40	4003	35058
41	4097	34925
42	4186	34755
43	4269	34543
44	4351	34325
45	4431	34103
46	4516	33922
47	4599	33730
48	4684	33558
49	4771	33399
50	4864	33287
51	4958	33184
52	5045	33032
53	5142	32948
54	5238	32857
55	5330	32746
56	5422	32631
57	5518	32539
58	5608	32417
59	5686	32223
60	5778	32112
61	5857	31930
62	5945	31805
63	6031	31664
64	6121	31548
65	6206	31408
66	6303	31331
67	6394	31222
68	6479	31082
69	6567	30962
70	6645	30794
71	6730	30659
72	6813	30521
73	6907	30430
74	6989	30287
75	7071	30146
76	7165	30059
77	7246	29916
78	7327	29775
79	7419	29677
80	7502	29545
81	7588	29427
82	7677	29320
83	7771	29234
84	7864	29144
85	7968	29095
86	8068	29027
87	8157	28923
88	8249	28826
89	8342	28735
90	8429	28622
91	8524	28538
92	8617	28447
93	8718	28381
94	8814	28299
95	8926	28268
96	9015	28160
97	9102	28049
98	9184	27923
99	9269	27808
100	9361	27712
101	9433	27560
102	9520	27453
103	9614	27365
104	9697	27246
105	9786	27144
106	9889	27081
107	9989	27007
108	10072	26891
109	10188	26861
110	10291	26793
111	10380	26693
112	10481	26619
113	10572	26523
114	10661	26421
115	10750	26319
116	10839	26219
117	10942	26149
118	11029	26044
119	11122	25952
120	11224	25881
121	11310	25772
122	11399	25672
123	11484	25562
124	11566	25446
125	11634	25301
126	11711	25174
127	11795	25066
128	11887	24972
129	11967	24856
130	12044	24733
131	12127	24622
132	12220	24532
133	12305	24426
134	12377	24295
135	12457	24183
136	12538	24070
137	12622	23965
138	12713	23872
139	12802	23776
140	12881	23661
141	12958	23545
142	13040	23435
143	13113	23313
144	13201	23215
145	13269	23086
146	13346	22970
147	13418	22847
148	13485	22717
149	13563	22605
150	13642	22496
151	13725	22393
152	13807	22291
153	13881	22173
154	13956	22060
155	14030	21945
156	14106	21833
157	14180	21719
158	14257	21610
159	14339	21509
160	14407	21388
161	14475	21267
162	14556	21164
163	14631	21054
164	14717	20960
165	14794	20855
166	14866	20741
167	14936	20626
168	15021	20532
169	15100	20430
170	15179	20327
171	15259	20227
172	15342	20132
173	15423	20033
174	15487	19911
175	15559	19803
176	15642	19708
177	15728	19616
178	15816	19527
179	15886	19416
180	15977	19331
181	16056	19232
182	16142	19141
183	16209	19028
184	16291	18933
185	16369	18833
186	16454	18741
187	16529	18639
188	16610	18544
189	16683	18440
190	16764	18344
191	16847	18251
192	16932	18160
193	17014	18066
194	17087	17963
195	17174	17875
196	17263	17789
197	17325	17675
198	17416	17591
199	17512	17512
200	17601	17425
201	17684	17333
202	17754	17229
203	17831	17132
204	17900	17027
205	17970	16923
206	18041	16821
207	18122	16728
208	18209	16641
209	18288	16546
210	18381	16464
211	18467	16376
212	18550	16286
213	18626	16189
214	18707	16097
215	18782	15999
216	18848	15895
217	18913	15790
218	18981	15688
219	19059	15593
220	19133	15497
221	19203	15397
222	19284	15306
223	19364	15215
224	19442	15121
225	19524	15031
226	19605	14941
227	19684	14849
228	19756	14752
229	19840	14664
230	19928	14579
231	20010	14490
232	20089	14398
233	20155	14298
234	20232	14205
235	20301	14107
236	20374	14012
237	20445	13916
238	20519	13822
239	20599	13732
240	20671	13638
241	20757	13552
242	20842	13466
243	20929	13381
244	20996	13283
245	21074	13193
246	21154	13103
247	21232	13013
248	21315	12926
249	21388	12832
250	21462	12740
251	21529	12644
252	21597	12548
253	21667	12454
254	21740	12362
255	21808	12267
256	21880	12174
257	21958	12085
258	22028	11992
259	22096	11898
260	22166	11805
261	22259	11724
262	22344	11639
263	22434	11557
264	22514	11469
265	22596	11383
266	22673	11294
267	22752	11206
268	22833	11119
269	22900	11026
270	22975	10936
271	23047	10845
272	23130	10760
273	23223	10679
274	23316	10598
275	23387	10507
276	23467	10420
277	23544	10332
278	23623	10245
279	23700	10157
280	23784	10072
281	23852	9980
282	23929	9893
283	24000	9803
284	24073	9713
285	24147	9625
286	24221	9536
287	24285	9444
288	24360	9356
289	24448	9273
290	24527	9187
291	24618	9105
292	24703	9021
293	24783	8935
294	24865	8850
295	24935	8761
296	25009	8673
297	25077	8583
298	25151	8496
299	25225	8408
300	25307	8323
301	25388	8238
302	25456	8149
303	25548	8067
304	25630	7983
305	25720	7901
306	25775	7808
307	25850	7721
308	25924	7634
309	25991	7545
310	26076	7462
311	26147	7374
312	26231	7291
313	26302	7203
314	26384	7119
315	26462	7034
316	26533	6947
317	26610	6861
318	26683	6775
319	26768	6692
320	26853	6608
321	26937	6525
322	27030	6443
323	27117	6360
324	27205	6278
325	27284	6193
326	27363	6108
327	27437	6022
328	27512	5937
329	27591	5852
330	27660	5766
331	27722	5678
332	27791	5591
333	27865	5506
334	27945	5422
335	28024	5337
336	28101	5253
337	28190	5171
338	28267	5086
339	28346	5002
340	28435	4919
341	28505	4834
342	28586	4750
343	28657	4665
344	28727	4579
345	28797	4494
346	28872	4409
347	28955	4326
348	29024	4241
349	29101	4157
350	29171	4072
351	29248	3988
352	29318	3903
353	29406	3821
354	29494	3738
355	29574	3655
356	29650	3571
357	29717	3486
358	29782	3401
359	29860	3317
360	29937	3234
361	30015	3150
362	30092	3067
363	30162	2983
364	30237	2899
365	30329	2817
366	30410	2734
367	30492	2651
368	30567	2567
369	30642	2484
370	30723	2401
371	30790	2317
372	30860	2233
373	30932	2150
374	30998	2066
375	31071	1983
376	31138	1899
377	31208	1816
378	31284	1733
379	31351	1650
380	31425	1567
381	31497	1484
382	31566	1401
383	31635	1318
384	31710	1235
385	31809	1153
386	31894	1071
387	31974	988
388	32053	906
389	32120	823
390	32206	741
391	32290	658
392	32359	576
393	32431	493
394	32503	411
395	32580	329
396	32660	246
397	32746	164
398	32837	82
399	32904	0
